"","state","PUMA","count","disconnected_per_pop","disconnected_density"
"256","ca","03760",1105,92.3990300192324,4.27029348432169
"257","ca","03726",777,70.945945945946,1.16343247320704
"258","ca","11106",1968,105.116974682192,1.38132396279242
"259","ca","08303",2324,49.315649867374,0.648140661247046
"260","ca","03733",1637,146.252121861878,219.582799113222
"261","ca","03740",2104,123.662865875162,47.1683558290446
"262","ca","03744",4585,185.364867596523,114.331802123831
"263","ca","03741",3038,165.21644550794,82.0454274628672
"264","ca","03743",1227,78.5933897002306,65.9940958965321
"265","ca","03703",4825,212.470826544542,13.0175856925225
"266","ca","03713",529,33.7673943572067,8.36284645929495
"267","ca","03712",2224,108.429623129053,39.1725885532969
"268","ca","07110",1626,99.717895253281,30.6454733782822
"269","ca","06511",2616,102.733270499529,29.4609137557411
"270","ca","07114",1698,86.6370733200673,7.98931118362726
"271","ca","05913",2708,153.384310393656,70.1322974348992
"272","ca","03735",2625,124.30154370679,52.2303120234664
"273","ca","03716",1997,154.806201550388,45.1050307276029
"274","ca","07113",3290,155.313222867394,28.3259303580186
"275","ca","03756",1638,135.103926096998,67.3416478159782
"276","ca","03751",4047,172.059011096467,182.271521801263
"277","ca","03730",2438,183.143028846154,81.3516859052402
"278","ca","01305",370,27.1699221618446,0.912962124434687
"279","ca","08514",1430,124.228998349405,61.5471964419304
"280","ca","08511",703,60.5043463292882,21.0930172415524
"281","ca","08503",1844,105.107159142727,27.8663525417223
"282","ca","08510",1190,72.4284844796105,23.9804538915196
"283","ca","08509",1338,87.3254144367576,34.0663036936647
"284","ca","00103",1428,144.315310763012,19.9126121028948
"285","ca","09503",1517,97.5688191407255,1.05512095294702
"286","ca","06709",2266,111.411573823688,37.1478641881083
"287","ca","06707",2103,152.579264311108,30.8429632194141
"288","ca","06701",2728,226.446418195401,56.0775099523121
"289","ca","01308",2074,162.641154328733,12.1451150003688
"290","ca","01306",1008,79.4075941389633,6.59187328755005
"291","ca","01304",370,28.1969212010364,1.52291037856605
"292","ca","09502",3321,200.57981518391,5.30117974083261
"293","ca","01307",3550,186.322363932189,19.3035513091443
"294","ca","06703",1480,146.912844947389,21.1960961634288
"295","ca","02904",3436,182.620249800691,17.1829215814116
"296","ca","07503",990,105.566218809981,61.632226303544
"297","ca","00105",1400,99.8288648031945,5.84320224715092
"298","ca","00102",2167,137.639735772358,41.8732005687544
"299","ca","01302",968,90.8920187793427,5.22621244094931
"300","ca","09703",2520,113.580024338577,10.7907227808176
"301","ca","06101",872,62.0552234557358,2.44658219998444
"302","ca","06102",1390,90.4947916666667,7.15685265114034
"303","ca","06712",1216,113.000650497166,10.5298110648651
"304","ca","03708",1740,111.969111969112,17.1662502535236
"305","ca","03719",2010,114.909672993368,25.4132251598045
"306","ca","03717",1800,111.759592698373,24.7468258246646
"307","ca","07109",1678,113.171916099009,28.4167630655295
"308","ca","06510",3123,101.978840125392,17.0677160619125
"309","ca","06513",4490,221.553340570414,44.2600318105276
"310","ca","06514",3222,124.966062909669,20.0660037852888
"311","ca","05906",2122,106.788787680539,15.2658614099601
"312","ca","05910",1797,71.1965134706815,22.442447568344
"313","ca","05911",1268,73.9789964994166,18.6367474061461
"314","ca","06702",1605,123.871266496874,8.83345804158736
"315","ca","06708",2521,130.412291138586,21.8775620784621
"316","ca","07701",6173,237.204119274516,61.0326031617093
"317","ca","09904",1288,125.670797150942,24.1321017959895
"318","ca","00110",901,41.8194476676723,0.831433090089862
"319","ca","08504",1583,125.09878299352,23.2373729919029
"320","ca","08505",916,72.9996812240995,12.2987092058926
"321","ca","08513",1429,113.946256279404,17.0624715023203
"322","ca","08508",367,39.517605254657,9.19239698969487
"323","ca","00109",902,53.6202591844014,7.99229021800692
"324","ca","00106",1092,94.9812994694268,7.06553270020573
"325","ca","00104",2821,166.371785798537,116.432611688787
"326","ca","06704",2801,174.332482728574,42.7216140427023
"327","ca","06710",1192,69.1174765162936,11.1625886395639
"328","ca","07702",3868,165.681487192667,47.5833995079392
"329","ca","07703",3644,149.583350437174,4.06927031060076
"330","ca","09902",2429,155.237425704608,33.2472286074606
"331","ca","01309",2218,135.392503967769,5.25313271408309
"332","ca","03704",2435,126.869171051946,7.24901074169245
"333","ca","07107",3422,243.420116659553,45.661231021701
"334","ca","06506",4273,225.072425599157,6.57159196535078
"335","ca","07308",911,90.3949196269101,5.32122419564155
"336","ca","07314",632,49.0568966855546,4.12789810852391
"337","ca","07317",2896,102.669550111674,70.7097480938719
"338","ca","07305",2086,178.994336708426,16.8099663943434
"339","ca","07303",1777,130.0878477306,15.5764622245854
"340","ca","06504",2498,121.592679127726,16.7906329984351
"341","ca","06509",3988,206.760680215678,9.04589923305488
"342","ca","05905",2721,103.605833301603,7.2200570757534
"343","ca","05902",636,66.25,11.456907870579
"344","ca","03758",2899,142.604161542624,81.8829565882188
